name,handedness,height,weight,avg,HR,BMI,Class,,,,,BMI Limits,
Dick Ruthven,R,75,190,0.183,1,23.81333333,Compact,,,,,,
Joe Niekro,R,73,185,0.156,1,24.47457309,Hefty,,,,,,
Denny McLain,R,73,185,0.133,1,24.47457309,Hefty,,,,,,
Jose Arcia,R,75,170,0.215,1,21.30666667,Lanky,,,,,,
Bob Randall,R,74,175,0.257,1,22.53013148,Compact,,,,,,
Jerry Reuss,L,77,200,0.167,1,23.78141339,Compact,,,,,,
Woody Woodward,R,74,180,0.236,1,23.17384953,Compact,,,,,,
Joe Strain,R,70,169,0.25,1,24.31530612,Hefty,,,,,,
Duane Kuiper,L,72,175,0.271,1,23.79918981,Compact,,,,,,
Brock Davis,L,70,160,0.26,1,23.02040816,Compact,,,,,,
Steve Blass,R,72,165,0.172,1,22.43923611,Lanky,,,,,,
Don Wilson,R,74,195,0.146,1,25.10500365,Hefty,,,,,,
Bob Heise,R,72,175,0.247,1,23.79918981,Compact,,,,,,
Bruce Miller,R,73,185,0.246,1,24.47457309,Hefty,,,,,,
Ray Burris,R,77,200,0.151,1,23.78141339,Compact,,,,,,
Ray Culp,R,72,200,0.123,1,27.19907407,Hefty,,,,,,
Mario Soto,R,72,174,0.132,1,23.66319444,Compact,,,,,,
Pepe Frias,R,70,159,0.24,1,22.87653061,Compact,,,,,,
Darrell Brown,B,72,184,0.274,1,25.02314815,Hefty,,,,,,
Gil Garrido,R,69,150,0.237,1,22.21172023,Lanky,,,,,,
Jim Barr,R,75,205,0.162,1,25.69333333,Hefty,,,,,,
Tom Brown,R,73,170,0,0,22.49014825,Lanky,,,,,,
Ozzie Osborn,R,74,195,0,0,25.10500365,Hefty,,,,,,
John LaRose,L,73,185,0,0,24.47457309,Hefty,,,,,,
Jeff Byrd,R,75,195,0,0,24.44,Hefty,,,,,,
Jerry Kutzler,L,73,175,0,0,23.15162319,Compact,,,,,,
Jeff Barkley,B,75,185,0,0,23.18666667,Compact,,,,,,
Eric Wilkins,R,73,190,0,0,25.13604804,Hefty,,,,,,
Britt Burns,L,77,215,0,0,25.5650194,Hefty,,,,,,
Nardi Contreras,B,74,193,0,0,24.84751644,Hefty,,,,,,
Jack Billingham,R,76,195,0.111,0,23.80107341,Compact,,,,,,
Gil Patterson,R,73,185,0,0,24.47457309,Hefty,,,,,,
Jerry Garvin,L,75,195,0,0,24.44,Hefty,,,,,,
Steve Eddy,R,74,185,0,0,23.81756757,Compact,,,,,,
Kevin Mmahat,L,77,220,0,0,26.15955473,Hefty,,,,,,
Jim Siwy,R,76,200,0,0,24.41135734,Hefty,,,,,,
Bud Anderson,R,75,210,0,0,26.32,Hefty,,,,,,
Kevin Stanfield,L,72,190,0,0,25.83912037,Hefty,,,,,,
John Butcher,R,76,185,0,0,22.58050554,Compact,,,,,,
Jerry Ujdur,R,73,195,0,0,25.79752299,Hefty,,,,,,
Brian Denman,R,76,205,0,0,25.02164127,Hefty,,,,,,
Bob Fallon,L,75,200,0,0,25.06666667,Hefty,,,,,,
Steve Curry,R,78,217,0,0,25.14546351,Hefty,,,,,,
Mickey Lolich,B,73,170,0.11,0,22.49014825,Lanky,,,,,,
Ray Chadwick,B,74,180,0,0,23.17384953,Compact,,,,,,
Bryan Clutterbuck,R,76,223,0,0,27.21866343,Hefty,,,,,,
Tony Ferreira,L,73,160,0,0,21.16719835,Lanky,,,,,,
Bryan Oelkers,L,75,192,0,0,24.064,Hefty,,,,,,
Kevin Bearse,L,74,195,0,0,25.10500365,Hefty,,,,,,
Marty Martinez,B,72,170,0.243,0,23.11921296,Compact,,,,,,
Jose Roman,R,72,175,0,0,23.79918981,Compact,,,,,,
Mike Trujillo,R,73,180,0,0,23.81309814,Compact,,,,,,
Albert Williams,R,76,190,0,0,23.19078947,Compact,,,,,,
Oswaldo Peraza,R,76,172,0,0,20.99376731,Lanky,,,,,,
Barry Cort,R,77,210,0,0,24.97048406,Hefty,,,,,,
Bill Wilkinson,R,70,160,0,0,23.02040816,Compact,,,,,,
Mike Loynd,R,76,210,0,0,25.63192521,Hefty,,,,,,
Randy Scarbery,B,73,185,0,0,24.47457309,Hefty,,,,,,
Ben Callahan,R,79,230,0,0,25.98141324,Hefty,,,,,,
Bobby Cuellar,R,71,188,0,0,26.2924023,Hefty,,,,,,
Mike Jones,L,78,215,0,0,24.91370809,Hefty,,,,,,
Ramon Manon,R,72,150,0,0,20.39930556,Lanky,,,,,,
John Trautwein,R,75,205,0,0,25.69333333,Hefty,,,,,,
Andy Replogle,R,77,205,0,0,24.37594873,Hefty,,,,,,
Zach Crouch,L,75,180,0,0,22.56,Compact,,,,,,
Ron Romanick,R,76,195,0,0,23.80107341,Compact,,,,,,
Bruce Tanner,L,75,220,0,0,27.57333333,Hefty,,,,,,
Dave Ford,R,76,190,0,0,23.19078947,Compact,,,,,,
Barry Raziano,B,70,175,0,0,25.17857143,Hefty,,,,,,
Pat Underwood,L,72,175,0,0,23.79918981,Compact,,,,,,
Joel McKeon,L,72,185,0,0,25.15914352,Hefty,,,,,,
Danny Fife,R,75,175,0,0,21.93333333,Lanky,,,,,,
Bob Didier,B,72,190,0.229,0,25.83912037,Hefty,,,,,,
Andy Beene,R,75,205,0,0,25.69333333,Hefty,,,,,,
Bruce Robbins,L,73,190,0,0,25.13604804,Hefty,,,,,,
Leon Hooten,R,71,180,0,0,25.17357667,Hefty,,,,,,
Allan Ramirez,R,70,180,0,0,25.89795918,Hefty,,,,,,
Brian Allard,R,73,175,0,0,23.15162319,Compact,,,,,,
Fernando Arroyo,R,74,180,0,0,23.17384953,Compact,,,,,,
Gary Beare,R,76,205,0,0,25.02164127,Hefty,,,,,,
Brian Dubois,L,70,165,0,0,23.73979592,Compact,,,,,,
Chris Batton,R,76,195,0,0,23.80107341,Compact,,,,,,
Vance Lovelace,L,77,205,0,0,24.37594873,Hefty,,,,,,
Greg Thayer,R,71,182,0,0,25.45328308,Hefty,,,,,,
Paul Hartzell,R,77,200,0,0,23.78141339,Compact,,,,,,
Ralph Botting,L,72,195,0,0,26.51909722,Hefty,,,,,,
Steve Rogers,R,74,175,0.138,0,22.53013148,Compact,,,,,,
Keith Creel,R,74,180,0,0,23.17384953,Compact,,,,,,
Mike Smith,R,75,180,0,0,22.56,Compact,,,,,,
T.R. Bryden,R,76,190,0,0,23.19078947,Compact,,,,,,
Tom Makowski,R,71,185,0,0,25.87284269,Hefty,,,,,,
Ed Crosby,L,74,175,0.22,0,22.53013148,Compact,,,,,,
Jim Umbarger,L,78,200,0,0,23.17554241,Compact,,,,,,
Mike Darr,R,76,190,0,0,23.19078947,Compact,,,,,,
Craig Robinson,R,70,165,0.219,0,23.73979592,Compact,,,,,,
Curt Wardle,L,77,220,0,0,26.15955473,Hefty,,,,,,
Israel Sanchez,L,69,170,0,0,25.17328292,Hefty,,,,,,
Steve Burke,B,74,200,0,0,25.74872169,Hefty,,,,,,
Terry Taylor,R,73,180,0,0,23.81309814,Compact,,,,,,
Randy Nosek,R,76,215,0,0,26.24220914,Hefty,,,,,,
Narciso Elvira,L,70,160,0,0,23.02040816,Compact,,,,,,
Mark Smith,R,74,215,0,0,27.67987582,Hefty,,,,,,
Paul Mitchell,R,73,195,0,0,25.79752299,Hefty,,,,,,
Butch Edge,R,75,203,0,0,25.44266667,Hefty,,,,,,
Gary Mielke,R,75,185,0,0,23.18666667,Compact,,,,,,
Rick Henninger,R,78,225,0,0,26.07248521,Hefty,,,,,,
Mark Brown,B,74,190,0,0,24.46128561,Hefty,,,,,,
Rafael Vasquez,R,72,160,0,0,21.75925926,Lanky,,,,,,
Len Whitehouse,L,71,175,0,0,24.47431065,Hefty,,,,,,
Steve Adkins,R,78,210,0,0,24.33431953,Hefty,,,,,,
Joe Horlen,R,72,170,0.134,0,23.11921296,Compact,,,,,,
Tony Mack,R,70,177,0,0,25.46632653,Hefty,,,,,,
Bill Moran,R,76,210,0,0,25.63192521,Hefty,,,,,,
Cesar Gutierrez,R,69,155,0.235,0,22.9521109,Compact,,,,,,
Tom Gilles,R,73,185,0,0,24.47457309,Hefty,,,,,,
Bob Kammeyer,R,76,210,0,0,25.63192521,Hefty,,,,,,
Joe Pactwa,L,71,185,0,0,25.87284269,Hefty,,,,,,
Sherman Corbett,L,76,205,0,0,25.02164127,Hefty,,,,,,
Lafayette Currence,B,71,175,0,0,24.47431065,Hefty,,,,,,
John Pawlowski,R,74,175,0,0,22.53013148,Compact,,,,,,
Jack Hardy,R,74,175,0,0,22.53013148,Compact,,,,,,
Ron Musselman,R,74,185,0,0,23.81756757,Compact,,,,,,
Tony Chevez,R,71,177,0,0,24.75401706,Hefty,,,,,,
Gary Ignasiak,R,71,185,0,0,25.87284269,Hefty,,,,,,
Mike Smithson,L,80,215,0,0,23.68359375,Compact,,,,,,
Joe Skalski,R,75,190,0,0,23.81333333,Compact,,,,,,
Bert Bradley,B,73,190,0,0,25.13604804,Hefty,,,,,,
Francisco Barrios,R,71,155,0,0,21.67724658,Lanky,,,,,,
Reggie Ritter,L,74,195,0,0,25.10500365,Hefty,,,,,,
Bob Babcock,R,77,210,0,0,24.97048406,Hefty,,,,,,
Craig Eaton,R,71,175,0,0,24.47431065,Hefty,,,,,,
Roy Branch,R,72,175,0,0,23.79918981,Compact,,,,,,
Rob Woodward,R,75,185,0,0,23.18666667,Compact,,,,,,
Fred Norman,B,68,155,0.125,0,23.63213668,Compact,,,,,,
Randy Jones,R,72,178,0.132,0,24.20717593,Hefty,,,,,,
Bob Veselic,R,72,175,0,0,23.79918981,Compact,,,,,,
Chuck Hockenbery,B,73,195,0,0,25.79752299,Hefty,,,,,,
Bob Ferris,R,78,225,0,0,26.07248521,Hefty,,,,,,
Gary Wheelock,R,75,205,0,0,25.69333333,Hefty,,,,,,
Mike Rochford,L,76,205,0,0,25.02164127,Hefty,,,,,,
Jeff Schneider,B,75,195,0,0,24.44,Hefty,,,,,,
Luis Encarnacion,R,70,178,0,0,25.61020408,Hefty,,,,,,
Rick Kreuger,R,74,185,0,0,23.81756757,Compact,,,,,,
Angel Moreno,L,69,165,0,0,24.43289225,Hefty,,,,,,
Roger Weaver,R,75,190,0,0,23.81333333,Compact,,,,,,
Chris Knapp,R,77,195,0,0,23.18687806,Compact,,,,,,
Don Welchel,R,76,205,0,0,25.02164127,Hefty,,,,,,
Randy Wiles,L,73,185,0,0,24.47457309,Hefty,,,,,,
Larry Lintz,B,69,150,0.227,0,22.21172023,Lanky,,,,,,
Dewey Robinson,R,72,180,0,0,24.47916667,Hefty,,,,,,
Tony Arnold,R,71,170,0,0,23.77504463,Compact,,,,,,
Jeff Schattinger,L,77,200,0,0,23.78141339,Compact,,,,,,
Ike Brookens,R,77,170,0,0,20.21420138,Lanky,,,,,,
Win Remmerswaal,R,74,160,0,0,20.59897736,Lanky,,,,,,
Jeff Peterek,R,74,195,0,0,25.10500365,Hefty,,,,,,
Jeff Shaver,R,75,195,0,0,24.44,Hefty,,,,,,
Tim Johnson,L,73,170,0.223,0,22.49014825,Lanky,,,,,,
Pete Filson,B,74,195,0,0,25.10500365,Hefty,,,,,,
Jim Gideon,R,75,190,0,0,23.81333333,Compact,,,,,,
Jeff Twitty,L,74,185,0,0,23.81756757,Compact,,,,,,
Steve Cummings,B,74,200,0,0,25.74872169,Hefty,,,,,,
Jose Cecena,R,71,180,0,0,25.17357667,Hefty,,,,,,
Greg Erardi,R,73,190,0,0,25.13604804,Hefty,,,,,,
Jim Farr,R,73,195,0,0,25.79752299,Hefty,,,,,,
Frank Dimichele,R,75,205,0,0,25.69333333,Hefty,,,,,,
Bob Veale,B,78,212,0.114,0,24.56607495,Hefty,,,,,,
Mike Warren,R,73,175,0,0,23.15162319,Compact,,,,,,
Bill Fulton,R,75,195,0,0,24.44,Hefty,,,,,,
Larry Anderson,R,75,190,0,0,23.81333333,Compact,,,,,,
Craig Mitchell,R,75,180,0,0,22.56,Compact,,,,,,
Alfredo Martinez,R,75,185,0,0,23.18666667,Compact,,,,,,
Dean Chance,R,75,200,0.066,0,25.06666667,Hefty,,,,,,
Joel Davis,L,77,205,0,0,24.37594873,Hefty,,,,,,
Bill Mooneyham,R,72,175,0,0,23.79918981,Compact,,,,,,
John Hobbs,R,75,190,0,0,23.81333333,Compact,,,,,,
John Denny,R,75,185,0.17,0,23.18666667,Compact,,,,,,
Karl Best,R,76,190,0,0,23.19078947,Compact,,,,,,
Steve Barr,L,76,200,0,0,24.41135734,Hefty,,,,,,
Luis Sanchez,R,74,170,0,0,21.88641344,Lanky,,,,,,
Mike Brown,R,74,195,0,0,25.10500365,Hefty,,,,,,
Steve Davis,L,73,195,0,0,25.79752299,Hefty,,,,,,
Jeff Rineer,L,76,205,0,0,25.02164127,Hefty,,,,,,
Mark Mercer,L,77,220,0,0,26.15955473,Hefty,,,,,,
John Caneira,R,75,180,0,0,22.56,Compact,,,,,,
Clint Zavaras,R,73,175,0,0,23.15162319,Compact,,,,,,
Mike Parrott,R,76,210,0,0,25.63192521,Hefty,,,,,,
Luis Aponte,R,72,185,0,0,25.15914352,Hefty,,,,,,
Paul Boris,R,74,200,0,0,25.74872169,Hefty,,,,,,
De Wayne Buice,R,72,170,0,0,23.11921296,Compact,,,,,,
Mark Esser,R,73,190,0,0,25.13604804,Hefty,,,,,,
Daryl Smith,R,76,185,0,0,22.58050554,Compact,,,,,,
Dave Smith,R,73,190,0,0,25.13604804,Hefty,,,,,,
Dave Stapleton,L,73,185,0,0,24.47457309,Hefty,,,,,,
Tom Klawitter,R,74,190,0,0,24.46128561,Hefty,,,,,,
Gary Christenson,L,77,200,0,0,23.78141339,Compact,,,,,,
Jim Wright,R,77,205,0,0,24.37594873,Hefty,,,,,,
Jim Wright,R,73,165,0,0,21.8286733,Lanky,,,,,,
Mike Kinnunen,L,73,185,0,0,24.47457309,Hefty,,,,,,
Dave Rajsich,L,77,175,0,0,20.80873672,Lanky,,,,,,
Ramon Pena,R,70,155,0,0,22.30102041,Lanky,,,,,,
Chico Escarrega,R,71,185,0,0,25.87284269,Hefty,,,,,,
Cardell Camper,R,75,208,0,0,26.06933333,Hefty,,,,,,
Mike Overy,R,74,190,0,0,24.46128561,Hefty,,,,,,
Craig Chamberlain,R,73,190,0,0,25.13604804,Hefty,,,,,,
Frank Eufemia,R,71,185,0,0,25.87284269,Hefty,,,,,,
Jack Lazorko,R,71,200,0,0,27.97064075,Hefty,,,,,,
Mike Paxton,R,71,190,0,0,26.57210871,Hefty,,,,,,
Rickey Keeton,R,74,190,0,0,24.46128561,Hefty,,,,,,
Terry Felton,R,73,180,0,0,23.81309814,Compact,,,,,,
Mark Clear,R,76,200,0,0,24.41135734,Hefty,,,,,,
Mike Pazik,L,74,195,0,0,25.10500365,Hefty,,,,,,
Rich Barnes,R,76,186,0,0,22.70256233,Compact,,,,,,
Dave Frost,R,78,235,0,0,27.23126233,Hefty,,,,,,
Mark Souza,L,72,180,0,0,24.47916667,Hefty,,,,,,
Rick Jones,L,77,190,0,0,22.59234272,Compact,,,,,,
Jim Dorsey,R,79,190,0,0,21.46290659,Lanky,,,,,,
Mark Ciardi,R,72,180,0,0,24.47916667,Hefty,,,,,,
Dennis Burtt,R,72,180,0,0,24.47916667,Hefty,,,,,,
Rich Yett,R,74,187,0,0,24.07505478,Hefty,,,,,,
Matt Williams,R,73,200,0,0,26.45899794,Hefty,,,,,,
Jim Burton,R,75,195,0,0,24.44,Hefty,,,,,,
Rick Anderson,R,74,210,0,0,27.03615778,Hefty,,,,,,
Charlie Mitchell,R,75,170,0,0,21.30666667,Lanky,,,,,,
Bill Paschall,R,72,175,0,0,23.79918981,Compact,,,,,,
John Bohnet,B,72,175,0,0,23.79918981,Compact,,,,,,
Byron McLaughlin,R,73,175,0,0,23.15162319,Compact,,,,,,
Luis Quintana,L,74,175,0,0,22.53013148,Compact,,,,,,
Keith Macwhorter,R,76,190,0,0,23.19078947,Compact,,,,,,
Jaime Cocanower,R,76,200,0,0,24.41135734,Hefty,,,,,,
Jeff Sellers,R,73,175,0,0,23.15162319,Compact,,,,,,
Steve Senteney,R,74,205,0,0,26.39243974,Hefty,,,,,,
Howard Bailey,R,72,195,0,0,26.51909722,Hefty,,,,,,
Jeff Bettendorf,R,75,180,0,0,22.56,Compact,,,,,,
Bob Davidson,R,72,185,0,0,25.15914352,Hefty,,,,,,
Brian Snyder,L,75,185,0,0,23.18666667,Compact,,,,,,
Carlos Velazquez,R,71,180,0,0,25.17357667,Hefty,,,,,,
Roger Miller,R,75,200,0,0,25.06666667,Hefty,,,,,,
Willie Mueller,R,76,220,0,0,26.85249307,Hefty,,,,,,
John Flinn,R,72,175,0,0,23.79918981,Compact,,,,,,
Les Straker,R,73,193,0,0,25.53293301,Hefty,,,,,,
Don Kainer,R,75,205,0,0,25.69333333,Hefty,,,,,,
Don Gordon,R,73,175,0,0,23.15162319,Compact,,,,,,
Sandy Wihtol,R,73,195,0,0,25.79752299,Hefty,,,,,,
Jeff Richardson,R,75,185,0,0,23.18666667,Compact,,,,,,
Dennis DeBarr,L,74,190,0,0,24.46128561,Hefty,,,,,,
Jay Pettibone,R,76,182,0,0,22.21433518,Lanky,,,,,,
Glen Cook,R,71,180,0,0,25.17357667,Hefty,,,,,,
Bill Castro,R,71,170,0,0,23.77504463,Compact,,,,,,
Ed Hodge,L,74,192,0,0,24.71877283,Hefty,,,,,,
Tom Buskey,R,75,200,0,0,25.06666667,Hefty,,,,,,
Bruce Taylor,R,72,178,0,0,24.20717593,Hefty,,,,,,
Stan Thomas,R,74,185,0,0,23.81756757,Compact,,,,,,
Larry Monroe,R,76,200,0,0,24.41135734,Hefty,,,,,,
Roger Slagle,R,75,190,0,0,23.81333333,Compact,,,,,,
Jim Campbell,L,71,175,0,0,24.47431065,Hefty,,,,,,
Curt Kaufman,R,74,175,0,0,22.53013148,Compact,,,,,,
De Wayne Vaughn,R,71,180,0,0,25.17357667,Hefty,,,,,,
Bob Galasso,L,73,205,0,0,27.12047288,Hefty,,,,,,
Rich Wortham,R,72,185,0,0,25.15914352,Hefty,,,,,,
Juan Nieves,L,75,175,0,0,21.93333333,Lanky,,,,,,
Mike Bacsik,R,74,180,0,0,23.17384953,Compact,,,,,,
Phil Huffman,R,74,180,0,0,23.17384953,Compact,,,,,,
Steve Brown,R,77,200,0,0,23.78141339,Compact,,,,,,
Rick Lysander,R,74,190,0,0,24.46128561,Hefty,,,,,,
Mel Stottlemyre,R,72,190,0,0,25.83912037,Hefty,,,,,,
Alex Sanchez,R,74,185,0,0,23.81756757,Compact,,,,,,
Paul Wilmet,R,71,170,0,0,23.77504463,Compact,,,,,,
Bruce Ellingsen,L,72,180,0,0,24.47916667,Hefty,,,,,,
Gorman Heimueller,L,76,195,0,0,23.80107341,Compact,,,,,,
Ron Reed,R,78,215,0.158,0,24.91370809,Hefty,,,,,,
Fred Howard,R,75,190,0,0,23.81333333,Compact,,,,,,
John Hoover,R,74,190,0,0,24.46128561,Hefty,,,,,,
Mike Walters,R,77,203,0,0,24.13813459,Hefty,,,,,,
Colby Ward,R,74,185,0,0,23.81756757,Compact,,,,,,
Chuck Porter,R,75,187,0,0,23.43733333,Compact,,,,,,
Tom Dozier,R,74,190,0,0,24.46128561,Hefty,,,,,,
Rick Steirer,R,76,200,0,0,24.41135734,Hefty,,,,,,
Al Lachowicz,R,75,198,0,0,24.816,Hefty,,,,,,
Tom McCarthy,R,72,180,0,0,24.47916667,Hefty,,,,,,
Jim Lewis,R,75,190,0,0,23.81333333,Compact,,,,,,
Dan Morogiello,L,73,200,0,0,26.45899794,Hefty,,,,,,
Shawn Holman,R,74,185,0,0,23.81756757,Compact,,,,,,
Alan Wirth,R,76,190,0,0,23.19078947,Compact,,,,,,
Terry Wilshusen,R,74,210,0,0,27.03615778,Hefty,,,,,,
Steve Ellsworth,R,80,220,0,0,24.234375,Hefty,,,,,,
Bryan Kelly,R,74,195,0,0,25.10500365,Hefty,,,,,,
Mick Kelleher,R,69,176,0.213,0,26.06175173,Hefty,,,,,,
Don Sutton,R,73,185,0.144,0,24.47457309,Hefty,,,,,,
John Leister,R,74,200,0,0,25.74872169,Hefty,,,,,,
Don Cooper,R,73,185,0,0,24.47457309,Hefty,,,,,,
Jeff Jones,R,75,210,0,0,26.32,Hefty,,,,,,
John Poloni,L,77,210,0,0,24.97048406,Hefty,,,,,,
Mike Willis,L,74,205,0,0,26.39243974,Hefty,,,,,,
Stefan Wever,R,80,245,0,0,26.98828125,Hefty,,,,,,
Dave Johnson,R,73,183,0,0,24.20998311,Hefty,,,,,,
Jerry Augustine,L,72,183,0,0,24.88715278,Hefty,,,,,,
Jeff Holly,L,77,210,0,0,24.97048406,Hefty,,,,,,
Eric Hetzel,R,75,175,0,0,21.93333333,Lanky,,,,,,
Luis Gomez,R,69,150,0.21,0,22.21172023,Lanky,,,,,,
Dave Lemanczyk,R,76,235,0,0,28.68334488,Hefty,,,,,,
Al Jones,R,76,210,0,0,25.63192521,Hefty,,,,,,
Sam Hinds,R,78,215,0,0,24.91370809,Hefty,,,,,,
Clay Christiansen,R,77,205,0,0,24.37594873,Hefty,,,,,,
Larry Rothschild,L,74,180,0,0,23.17384953,Compact,,,,,,
Gary Lance,B,75,195,0,0,24.44,Hefty,,,,,,
Larry Pashnick,R,75,205,0,0,25.69333333,Hefty,,,,,,
Todd Fischer,R,70,170,0,0,24.45918367,Hefty,,,,,,
